,City,Lat,Lng,Temp,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
310,Marathon,44.9,-89.77,73.54,83,75.0,1,3.36,US,1598537232
311,Ponta do Sol,32.67,-17.1,84.38,51,86.0,20,18.34,PT,1598537232
312,Shitanjing,39.23,106.34,72.73,24,72.73,0,11.68,CN,1598537232
313,Atagay,55.1,99.39,51.75,93,51.75,100,3.15,RU,1598537232
314,Ambilobe,-13.2,49.05,81.37,52,81.37,1,3.4,MG,1598537233
315,Saint-Augustin,51.23,-58.65,52.02,84,52.02,100,26.53,CA,1598537233
316,Giyani,-23.3,30.72,73.47,46,73.47,13,5.44,ZA,1598537233
317,Nyurba,63.28,118.33,47.5,53,47.5,8,2.39,RU,1598537233
318,Bethel,41.37,-73.41,64.4,93,66.0,90,6.29,US,1598537233
319,Tezu,27.92,96.17,77.2,85,77.2,6,2.93,IN,1598537234
320,Puerto del Rosario,28.5,-13.86,89.6,49,89.6,0,16.11,ES,1598537234
321,Pacific Grove,36.62,-121.92,56.48,77,60.8,90,5.82,US,1598537234
322,Banfora,10.63,-4.77,82.87,74,82.87,79,6.17,BF,1598537234
323,Morondava,-20.28,44.28,78.48,64,78.48,0,11.97,MG,1598537234
324,Bambous Virieux,-20.34,57.76,73.22,73,73.4,40,11.41,MU,1598537234
325,Ordubad,38.91,46.02,88.72,18,89.6,0,4.7,AZ,1598537235
326,Inhambane,-23.86,35.38,78.39,69,78.8,40,9.17,MZ,1598537236
327,Maniitsoq,65.42,-52.9,47.91,69,47.91,100,1.97,GL,1598537236
328,Weyburn,49.67,-103.85,59.0,77,59.0,100,5.01,CA,1598536973
329,Key West,24.56,-81.78,85.71,74,87.01,20,10.29,US,1598537161
330,Katsuura,35.13,140.3,80.02,89,82.0,5,3.0,JP,1598537236
331,Chernyshevskiy,63.01,112.47,46.24,57,46.24,56,2.04,RU,1598537237
332,Linguère,15.4,-15.12,89.92,54,89.92,81,4.88,SN,1598537237
333,Port Hedland,-20.32,118.57,69.8,68,69.8,0,6.93,AU,1598537237
